Week,ethereum: (Worldwide),Date,Open,High,Low,Close,Adj Close,Volume
2021-01-31,45,2021-01-31,1376.823608,1378.916016,1288.501587,1314.986206,1314.986206,25198853581
2021-02-07,54,2021-02-07,1677.605713,1690.036621,1501.750244,1614.227783,1614.227783,39889440151
2021-02-14,51,2021-02-14,1814.372314,1848.154053,1789.914185,1805.084106,1805.084106,31439114900
2021-02-21,51,2021-02-21,1918.673096,1974.259644,1890.368164,1935.601074,1935.601074,23626547717
2021-02-28,34,2021-02-28,1459.860474,1468.391479,1300.472168,1416.04895,1416.04895,27637026080
2021-03-07,37,2021-03-07,1655.392456,1730.924194,1636.564453,1723.153809,1723.153809,23809935410
2021-03-14,31,2021-03-14,1923.86377,1930.779785,1845.119995,1854.564331,1854.564331,19344589211
2021-03-21,27,2021-03-21,1812.606567,1823.353027,1764.139282,1788.217041,1788.217041,22977404620
2021-03-28,35,2021-03-28,1716.40564,1728.584106,1672.6604,1691.355957,1691.355957,16599472938
2021-04-04,35,2021-04-04,2027.671265,2110.353516,2007.111816,2093.122803,2093.122803,26006501902
2021-04-11,46,2021-04-11,2136.156982,2165.191406,2119.865723,2157.656982,2157.656982,19692836132
2021-04-18,48,2021-04-18,2346.452393,2365.460449,2011.766846,2237.136963,2237.136963,50696368718
2021-04-25,48,2021-04-25,2214.413818,2354.08667,2172.515137,2316.05957,2316.05957,31814355546
2021-05-02,94,2021-05-02,2945.560059,2984.891846,2860.526123,2952.056152,2952.056152,28032013047
2021-05-09,100,2021-05-09,3911.463135,3981.259033,3743.989014,3928.844727,3928.844727,50568290278
2021-05-16,89,2021-05-16,3641.830811,3878.895996,3350.95166,3587.506104,3587.506104,47359478734
2021-05-23,70,2021-05-23,2298.367188,2384.411621,1737.46875,2109.579834,2109.579834,56005721977
2021-05-30,48,2021-05-30,2278.288818,2472.187744,2188.834473,2390.30542,2390.30542,25876619428
2021-06-06,40,2021-06-06,2629.748779,2743.441162,2616.162354,2715.092773,2715.092773,25311639414
2021-06-13,32,2021-06-13,2372.690186,2547.36792,2312.640137,2508.391602,2508.391602,27092945370
2021-06-20,39,2021-06-20,2171.337891,2275.382813,2049.962646,2246.364502,2246.364502,22535930423
2021-06-27,31,2021-06-27,1830.996948,1979.95813,1811.24585,1978.894653,1978.894653,19885474742
2021-07-04,29,2021-07-04,2226.550293,2384.286865,2190.837646,2321.724121,2321.724121,18787107473
2021-07-11,25,2021-07-11,2110.875732,2172.65332,2083.803711,2139.664795,2139.664795,14705386138
2021-07-18,29,2021-07-18,1900.194336,1988.336426,1883.012573,1895.552124,1895.552124,13791868728
2021-07-25,32,2021-07-25,2187.145508,2194.438232,2108.829834,2191.373779,2191.373779,14566483636
2021-08-01,44,2021-08-01,2530.462891,2695.429443,2520.931885,2561.852051,2561.852051,22697987055
2021-08-08,44,2021-08-08,3161.232666,3184.604004,2951.747314,3013.732666,3013.732666,28433638008
2021-08-15,36,2021-08-15,3266.276123,3320.084229,3117.791748,3310.50415,3310.50415,22166205051
2021-08-22,32,2021-08-22,3226.227295,3272.733154,3142.00708,3242.115479,3242.115479,15983278460
2021-08-29,40,2021-08-29,3246.770996,3283.235596,3158.840332,3227.002686,3227.002686,13296586731
2021-09-05,38,2021-09-05,3886.331055,3979.186523,3838.487305,3952.133545,3952.133545,18371468576
2021-09-12,28,2021-09-12,3270.291748,3462.468262,3235.109375,3410.134521,3410.134521,16810411424
2021-09-19,31,2021-09-19,3433.287842,3448.322021,3286.172363,3329.447998,3329.447998,14257609743
2021-09-26,27,2021-09-26,2926.343018,3114.857422,2744.583008,3062.265381,3062.265381,21172766310
