Week,bitcoin: (Worldwide),Date,Open,High,Low,Close,Adj Close,Volume
2021-02-21,81,2021-02-21,56068.566406,58330.570313,55672.609375,57539.945313,57539.945313,51897585191
2021-02-28,52,2021-02-28,46194.015625,46716.429688,43241.617188,45137.769531,45137.769531,53443887451
2021-03-07,52,2021-03-07,48918.679688,51384.367188,48918.679688,51206.691406,51206.691406,43137459378
2021-03-14,52,2021-03-14,61221.132813,61597.917969,59302.316406,59302.316406,59302.316406,43901225564
2021-03-21,45,2021-03-21,58309.914063,58767.898438,56005.617188,57523.421875,57523.421875,51943414539
2021-03-28,45,2021-03-28,55974.941406,56610.3125,55071.113281,55950.746094,55950.746094,47686580918
2021-04-04,40,2021-04-04,57604.839844,58913.746094,57168.675781,58758.554688,58758.554688,50749662970
2021-04-11,53,2021-04-11,59846.230469,60790.554688,59289.796875,60204.964844,60204.964844,46280252580
2021-04-18,68,2021-04-18,60701.886719,61057.457031,52829.535156,56216.183594,56216.183594,97468872758
2021-04-25,49,2021-04-25,50052.832031,50506.019531,47159.484375,49004.253906,49004.253906,46117114240
2021-05-02,43,2021-05-02,57825.863281,57902.59375,56141.90625,56631.078125,56631.078125,38177405335
2021-05-09,58,2021-05-09,58877.390625,59210.882813,56482.003906,58232.316406,58232.316406,65906690347
2021-05-16,100,2021-05-16,46716.636719,49720.042969,43963.351563,46456.058594,46456.058594,64047871555
2021-05-23,68,2021-05-23,37531.449219,38289.21875,31227.339844,34770.582031,34770.582031,78469274361
2021-05-30,49,2021-05-30,34607.40625,36400.667969,33520.738281,35678.128906,35678.128906,31646080921
2021-06-06,53,2021-06-06,35538.609375,36436.421875,35304.578125,35862.378906,35862.378906,28913440585
2021-06-13,39,2021-06-13,35555.789063,39322.78125,34864.109375,39097.859375,39097.859375,40669112838
2021-06-20,50,2021-06-20,35563.140625,36059.484375,33432.074219,35698.296875,35698.296875,36664034054
2021-06-27,35,2021-06-27,32287.523438,34656.128906,32071.757813,34649.644531,34649.644531,35511640894
2021-07-04,30,2021-07-04,34665.566406,35937.566406,34396.476563,35287.78125,35287.78125,24924307911
2021-07-11,28,2021-07-11,33509.078125,34584.703125,33346.738281,34240.1875,34240.1875,20108729370
